CUSTOMER_ID,CITY NAME,STATE ABBREVIATION,FIPS ZIP CODE,LON,LAT,EST HOUSEHOLD INCOME V5,LENGTH OF RESIDENCE,NUMBER OF ADULTS IN LIVING UNIT,MOSAIC HOUSEHOLD,CHILDREN: AGE 0-18 VERSION 3
77553818596,MINNEAPOLIS,MN,55412,-93.2953860186633,45.0137523529412,$35000-$49999,10,1,Q65,Not Likely
37576751988,MINNEAPOLIS,MN,55406,-93.22293,44.9411,$75000-$99999,06,1,G24,Possible
77508979976,MINNEAPOLIS,MN,55429,-93.327612941913,45.0748271168537,$75000-$99999,10,3,I33,Likely
17519732548,MINNEAPOLIS,MN,55403,-93.2809431951426,44.9700111024276,$35000-$49999,33,2,E19,Not Likely
97617090345,MINNEAPOLIS,MN,55443,-93.3280186625447,45.1362010533508,$200000-$249999,08,2,B07,Possible
87503764085,MINNEAPOLIS,MN,55406,-93.2172417324797,44.9247416413267,$35000-$49999,00,1,G24,Possible
87575986974,MINNEAPOLIS,MN,55429,-93.3415076308925,45.0734761823206,,00,0,U00,No
17538790971,MINNEAPOLIS,MN,55408,-93.2755282197347,44.9411301803375,$35000-$49999,04,1,O55,Yes
27691120605,MINNEAPOLIS,MN,55447,-93.5040700802025,44.9922275996934,$50000-$74999,06,2,C13,Not Likely
27516917446,MINNEAPOLIS,MN,55422,-93.3319987500543,45.0232615582537,$15000-$24999,03,1,K40,Possible
47514739761,MINNEAPOLIS,MN,55404,-93.2421482123189,44.9598009000581,$250000+,06,2,C11,Not Likely
07685085908,MINNEAPOLIS,MN,55442,-93.4128036571394,45.0465332665982,$125000-$149999,19,4,C11,Not Likely
67669107223,MINNEAPOLIS,MN,55445,-93.38496,45.1050371325916,$25000-$34999,00,1,O52,Possible
77581856381,MINNEAPOLIS,MN,55417,-93.2269952611575,44.9097634058467,,00,0,U00,No
87579900138,MINNEAPOLIS,MN,55421,-93.24611,45.04819,$25000-$34999,08,1,P56,Possible
27552739747,MINNEAPOLIS,MN,55404,-93.2797863770438,44.9598905383981,$1000-$14999,12,2,P57,Possible
07640136846,MINNEAPOLIS,MN,55449,-93.2231454727558,45.1742415525179,$50000-$74999,12,3,D17,Likely
37576767841,MINNEAPOLIS,MN,55407,-93.2496974671968,44.9554642453864,$25000-$34999,03,1,O55,Likely
57674093660,MINNEAPOLIS,MN,55443,-93.3408757687193,45.0874,,00,0,U00,No
