TRANSACTION VALUE,TRANSACTION DATE,CUSTOMER_ID
130.15,2015-09-13,87562829837
207.67,2015-09-08,97506800478
196.23,2015-09-24,97506800478
133.78,2015-11-10,97506800478
195.91,2015-12-29,07537884937
344.22,2015-12-30,07537884937
158.27,2015-12-30,07537884937
15.48,2015-03-25,97672128849
156.93,2015-06-24,97672128849
220.50,2015-11-13,07640006331
442.50,2015-12-02,67562784416
40.67,2015-12-20,67562784416
235.43,2015-12-11,87613000970
335.43,2015-09-15,57601064927
281.74,2015-11-16,57601064927
10.46,2015-02-13,97586833346
255.30,2015-08-09,67587751720
129.73,2015-10-08,67587751720
294.51,2015-11-04,67587751720
380.25,2015-07-05,27597872251
68.57,2015-10-17,37595740375
271.22,2015-09-28,47553852820
122.16,2015-10-09,47553852820
29.43,2015-12-09,47553852820
296.14,2015-12-21,37506750625
135.30,2015-12-25,37506750625
11.61,2015-12-25,37506750625
287.84,2015-05-25,67557829576
75.34,2015-06-03,67557829576
301.85,2015-01-05,27530833279
237.55,2015-12-14,27530833279
102.64,2015-10-09,27545797301
202.70,2015-10-30,67593834200
132.28,2015-12-10,67593834200
209.63,2015-12-22,67593834200
91.50,2015-12-22,67593834200
276.94,2015-12-24,67593834200
452.30,2015-12-28,67593834200
171.02,2015-10-02,77667012965
73.40,2015-11-02,77667012965
256.73,2015-11-08,77667012965
226.27,2015-08-28,97683127273
46.03,2015-01-06,77658033899
426.70,2015-11-25,47588849827
110.45,2015-12-19,47588849827
350.05,2015-09-21,07657123819
483.05,2015-10-02,07657123819
255.94,2015-10-09,07657123819
111.40,2015-11-10,57697003143
129.12,2015-11-30,57697003143
314.13,2015-09-13,67511779707
102.44,2015-11-27,67511779707
29.32,2015-12-11,67511779707
379.93,2015-09-24,67602101826
64.60,2015-10-18,67602101826
92.45,2015-10-30,67602101826
233.18,2015-04-18,47539810728
97.88,2015-05-04,47539810728
237.42,2015-11-19,47539810728
253.70,2015-01-08,87507979654
111.92,2015-06-13,47608095061
119.86,2015-06-08,87670024625
238.37,2015-12-09,87670024625
464.44,2015-06-21,87601053406
219.26,2015-12-27,87601053406
224.38,2015-12-31,87601053406
187.40,2015-02-09,17584871094
167.31,2015-10-27,17584871094
143.43,2015-11-16,17584871094
259.26,2015-08-13,27581756770
289.04,2015-11-02,27581756770
12.00,2015-04-16,27509760666
170.91,2015-11-30,27509760666
382.84,2015-08-11,17512913195
175.37,2015-07-01,77534789301
247.58,2015-10-09,77534789301
97.63,2015-02-13,47615031705
143.32,2015-02-24,37645136613
373.28,2015-09-19,37645136613
368.55,2015-04-05,27519722085
459.41,2015-11-29,27519722085
212.49,2015-12-19,27519722085
345.50,2015-10-13,87537941166
467.67,2015-12-18,87537941166
234.35,2015-12-29,87537941166
189.18,2015-12-30,87537941166
72.67,2015-10-17,47653025460
350.44,2015-03-20,57555853502
200.82,2015-11-17,37636116913
37.59,2015-12-25,37636116913
180.97,2015-12-29,37636116913
276.18,2015-12-29,37636116913
122.20,2015-12-30,37636116913
277.83,2015-12-31,37636116913
191.32,2015-11-30,67633067639
135.59,2015-12-22,67633067639
25.09,2015-04-18,87535947364
238.69,2015-08-18,37597986752
250.09,2015-10-02,37597986752
157.22,2015-12-11,37597986752
128.04,2015-09-08,97534814143
114.03,2015-12-19,77568828458
256.19,2015-12-19,77568828458
182.88,2015-10-11,17503842585
341.09,2015-12-24,17503842585
213.09,2015-12-31,17503842585
76.74,2015-12-31,17503842585
189.20,2015-12-31,17503842585
225.42,2015-12-31,17503842585
318.52,2015-06-05,27583847093
14.84,2015-10-31,27583847093
217.80,2015-11-04,17662064699
28.14,2015-11-30,17662064699
8.52,2015-12-11,17662064699
218.93,2015-12-24,17662064699
302.02,2015-12-28,17662064699
85.04,2015-01-02,37535745734
112.91,2015-03-26,37535745734
412.95,2015-08-31,37535745734
257.73,2015-10-16,37535745734
353.02,2015-10-07,17533806837
290.95,2015-06-19,97523781868
158.52,2015-07-25,97523781868
298.29,2015-10-19,97523781868
19.01,2015-08-06,07589752111
222.36,2015-11-13,07589752111
62.33,2015-11-30,07589752111
314.07,2015-12-04,07589752111
148.47,2015-07-06,97587806100
97.69,2015-08-07,97587806100
289.34,2015-03-07,07603116971
314.24,2015-02-05,17580905826
111.49,2015-01-13,47517892839
155.14,2015-12-21,47517892839
98.06,2015-12-28,47517892839
276.04,2015-10-19,97655103958
67.43,2015-07-07,97560892156
444.19,2015-07-27,97560892156
